vladimir,frais,6,loss
м�vladimir,moral,6,
мvova,mocky,6,
Valdimir,coset,6,loss
vova,qursh,6,loss
jjjj,durra,6,loss
momo,major,3,win
aboba,major,2,win
vova,major,2,win
vjvjv,major,1,win
Vladimir,major,2,win
о�momonoske,major,2,win
